Fight,Name,Job,DPS,Rank,patch_number
Black Cat,Rafa Vass,paladin,16997.463823367,46,7.1
Black Cat,Kaine Crimson,gunbreaker,16452.470765749,37,7.1
Black Cat,Rafa Vass,paladin,33449.9,53,7.1
Honey B. Lovely,Conrad Stormwall,darkknight,12676.898187213,0,7.1
Honey B. Lovely,Rafa Vass,paladin,16785.138068538,33,7.1
Honey B. Lovely,Conrad Stormwall,darkknight,29462,4,7.1
Black Cat,Sayo Aisaka,astrologian,10134.447458607,35,7.1
Black Cat,Poison Waffle,sage,14171.854057481,69,7.1
Black Cat,Sayo Aisaka,astrologian,24306.3,66,7.1
Honey B. Lovely,Sayo Aisaka,astrologian,10259.994488146,32,7.1
Honey B. Lovely,Fitz Lionheart,sage,11664.363823185,24,7.1
Honey B. Lovely,Sayo Aisaka,astrologian,21924.4,38,7.1
Black Cat,Soma Zero,machinist,22347.556916335,35,7.1
Black Cat,Vasz Ravenfall,ninja,19585.616026068,8,7.1
Black Cat,Dell Chan,redmage,22613.114681734,58,7.1
Black Cat,Nuharu Suzuka,viper,27471.750069094,61,7.1
Honey B. Lovely,Soma Zero,machinist,23485.920629836,39,7.1
Honey B. Lovely,Vasz Ravenfall,ninja,18740.491261656,1,7.1
Honey B. Lovely,Dell Chan,redmage,22675.357941748,47,7.1
Honey B. Lovely,Nuharu Suzuka,viper,25777.914528225,29,7.1
Black Cat,Rena Yuki,paladin,16631.397239863,40,7.1
Black Cat,Ai Tsukuyomi,warrior,13823.345780297,8,7.1
Black Cat,Rena Yuki,paladin,30454.7,27,7.1
Honey B. Lovely,Rena Yuki,paladin,14945.112632844,8,7.1
Honey B. Lovely,Ai Tsukuyomi,warrior,11546.330537441,0,7.1
Honey B. Lovely,Rena Yuki,paladin,26491.4,0,7.1
Black Cat,Bigon Truesilver,scholar,9444.8272415892,21,7.1
Black Cat,Angel Valentine,whitemage,6316.9742066196,0,7.1
Black Cat,Bigon Truesilver,scholar,15761.8,2,7.1
Honey B. Lovely,Bigon Truesilver,scholar,8411.5844258866,8,7.1
Honey B. Lovely,Nanako Nako,whitemage,12532.689939288,37,7.1
Honey B. Lovely,Bigon Truesilver,scholar,20944.3,25,7.1
Black Cat,Chaser Dc,dancer,18219.611691061,32,7.1
Black Cat,Rhaast Zenith,reaper,26092.987439743,66,7.1
Black Cat,Zion Zoen,viper,20794.118128049,5,7.1
Black Cat,Valkyries Zearaskia,pictomancer,23982.777762635,43,7.1
Honey B. Lovely,Chaser Dc,dancer,18225.314017069,19,7.1
Honey B. Lovely,Rhaast Zenith,reaper,25333.17001126,50,7.1
Honey B. Lovely,Zion Zoen,viper,21939.676392016,3,7.1
Honey B. Lovely,Valkyries Zearaskia,pictomancer,24156.424413421,34,7.1
Brute Bomber,Sabre Mau,paladin,16206.072908396,17,7.1
Brute Bomber,Cinna Nuko,warrior,17030.221876241,31,7.1
Brute Bomber,Sabre Mau,paladin,33236.3,37,7.1
Brute Bomber,Mayo Ne-z,astrologian,11331.566035629001,59,7.1
Brute Bomber,Koho Ori,scholar,10659.501848452,39,7.1
